id,prompt,expected_answer
hp_snitch,"In Harry Potter, what object does Harry catch in his mouth during his first Quidditch match?","Golden Snitch"
hp_ravenclaw,"In Harry Potter, what animal is on the Ravenclaw house crest?","Eagle"
hp_spell_unlock,"In Harry Potter, what spell unlocks doors?","Alohomora"
lotr_mellon,"In The Lord of the Rings, what elvish word for friend opens the Doors of Durin?","Mellon"
lotr_gimli_gift,"In The Lord of the Rings, what gift does Galadriel give to Gimli?","Three strands of her hair"
lotr_witchking,"In The Lord of the Rings, who kills the Witch-king of Angmar?","Éowyn"
asoiaf_martell,"In A Song of Ice and Fire, what is House Martell’s motto?","Unbowed, Unbent, Unbroken"
asoiaf_obsidian,"In A Song of Ice and Fire, what material can kill White Walkers?","Obsidian"
asoiaf_arya_sword,"In A Song of Ice and Fire, what is the name of Arya Stark’s sword?","Needle"
undertale_sans_attack,"In Undertale, what special attack does Sans use in battle?","Gaster Blasters"
undertale_determination,"In Undertale, what color represents determination?","Red"
undertale_papyrus_goal,"In Undertale, what does Papyrus want most?","To join the Royal Guard"
omori_knife,"In OMORI, what is the name of OMORI’s knife?","Steak Knife"
omori_mewo,"In OMORI, what creature lives with OMORI in White Space?","Mewo"
omori_sad_color,"In OMORI, what color is associated with the SAD emotion?","Blue"
mc_end_dragon,"In Minecraft, what item is used to respawn the Ender Dragon?","End Crystals"
mc_ancient_debris,"In Minecraft, in which dimension is Ancient Debris found?","Nether"
mc_slimeball,"In Minecraft, which mob drops slimeballs?","Slime"
stanley_number,"In The Stanley Parable, what is Stanley’s employee number?","427"
stanley_narrator,"In The Stanley Parable, who narrates Stanley’s actions?","The Narrator"
stanley_choice,"In The Stanley Parable, what action first breaks the narrator’s expectations?","Not following instructions"
eva_unit,"In Neon Genesis Evangelion, what Eva unit does Shinji pilot?","Unit-01"
eva_org,"In Neon Genesis Evangelion, what organization operates the Evangelions?","NERV"
eva_instrument,"In Neon Genesis Evangelion, what instrument does Shinji play?","Cello"
dn_ryuk_food,"In Death Note, what food does Ryuk love?","Apples"
dn_l_name,"In Death Note, what is L’s real name?","L Lawliet"
dn_rule,"In Death Note, what action shortens a human’s lifespan when using the Death Note?","Using the Death Note"
fma_law,"In Fullmetal Alchemist, what is the fundamental law of alchemy?","Equivalent Exchange"
fma_alphonse,"In Fullmetal Alchemist, what object is Alphonse Elric’s soul bound to?","A suit of armor"
fma_homunculi,"In Fullmetal Alchemist, what substance can defeat homunculi?","Philosopher’s Stone"
sw_callsign,"In Star Wars, what is Luke Skywalker’s call sign during the Battle of Yavin?","Red Five"
sw_father,"In Star Wars, who says the line ‘I am your father’?","Darth Vader"
sw_yoda_species,"In Star Wars, what species is Yoda?","Unknown"
bb_meth,"In Breaking Bad, what color is the meth produced by Walter White?","Blue"
bb_alias,"In Breaking Bad, what alias does Walter White use?","Heisenberg"
bb_restaurant,"In Breaking Bad, what fast food restaurant does Gus Fring own?","Los Pollos Hermanos"
dune_spice,"In Dune, what substance extends life?","Spice"
dune_worm,"In Dune, what do the Fremen call sandworms?","Shai-Hulud"
dune_arrakis,"In Dune, what type of planet is Arrakis?","Desert planet"
dw_ship,"In Doctor Who, what is the Doctor’s ship called?","TARDIS"
dw_dalek,"In Doctor Who, what species were the Daleks originally?","Mutated Kaled"
dw_phrase,"In Doctor Who, what French phrase is commonly used by the Doctor?","Allons-y"

